condition,task,disturbance,episode,seed,success,disturbance_fired,recovered,steps,total_reward,trigger_step,final_can_x,final_can_y,final_can_z,training_seed,budget
more_demos,bread,object_shift,1,400028,True,True,True,150,45.732274587591306,14.0,0.1825316250324249,0.1049145683646202,0.8484932780265808,27,1500
more_demos,bread,object_shift,2,400029,False,True,False,260,4.039796725338637,14.0,-0.0101149221882224,-0.0999369993805885,0.8421643376350403,27,1500
more_demos,bread,object_shift,3,400030,True,True,True,139,43.0221861944676,14.0,0.1768261194229126,0.1340217292308807,0.8421919941902161,27,1500
more_demos,bread,object_shift,4,400031,True,True,True,119,43.85466415913223,14.0,0.1691866368055343,0.1616338044404983,0.8421645760536194,27,1500
more_demos,bread,object_shift,5,400032,False,True,False,260,6.7488138032651745,14.0,0.0021615680307149,-0.4397371411323547,0.8421908617019653,27,1500
more_demos,bread,object_shift,6,400033,True,True,True,121,42.960607966042886,14.0,0.176769345998764,0.1575943082571029,0.8422163724899292,27,1500
more_demos,bread,object_shift,7,400034,True,True,True,127,44.842584565874915,14.0,0.1688708662986755,0.1620386987924575,0.8421713709831238,27,1500
more_demos,bread,action_noise,0,400027,True,True,True,112,39.25484703738272,8.0,0.1731944233179092,0.0929569229483604,0.842198371887207,27,1500
more_demos,bread,action_noise,1,400028,True,True,True,130,42.74811093719042,8.0,0.1850610077381134,0.1057406291365623,0.8421919345855713,27,1500
more_demos,bread,action_noise,2,400029,False,True,False,260,6.063678215719454,8.0,0.0671043917536735,-0.0983738675713539,0.8421630859375,27,1500
more_demos,bread,action_noise,3,400030,False,True,False,260,6.342114285508892,8.0,0.1317648440599441,-0.1853214651346206,0.8421919941902161,27,1500
more_demos,bread,action_noise,4,400031,True,True,True,110,35.245697252300424,8.0,0.1620086133480072,0.12505404651165,0.8421903252601624,27,1500
more_demos,bread,action_noise,5,400032,True,True,True,143,43.07952005911133,8.0,0.1898097693920135,0.1402428299188614,0.84218829870224,27,1500
more_demos,bread,action_noise,6,400033,True,True,True,119,37.77219677563983,8.0,0.1899918913841247,0.1449231803417205,0.8420865535736084,27,1500
more_demos,bread,action_noise,7,400034,True,True,True,119,45.533426261254334,8.0,0.1786773800849914,0.1684415638446808,0.8421903252601624,27,1500
more_demos,bread,action_delay,0,400027,False,True,False,260,4.471318802011031,3.0,-0.0334717817604541,-0.2521094083786011,0.8421904444694519,27,1500
more_demos,bread,action_delay,1,400028,False,True,False,260,3.5378267499959315,5.0,0.163599744439125,-0.3676549792289734,0.8421919941902161,27,1500
more_demos,bread,action_delay,2,400029,True,True,True,102,31.128770753538184,5.0,0.2448516637086868,0.1709401458501815,0.8612238764762878,27,1500
more_demos,bread,action_delay,3,400030,True,True,True,257,115.4472518108376,3.0,0.1551585793495178,0.2364833652973175,0.8437575101852417,27,1500
more_demos,bread,action_delay,4,400031,False,True,False,260,3.359338355008286,3.0,0.251000702381134,-0.2834437191486358,0.834570586681366,27,1500
more_demos,bread,action_delay,5,400032,False,True,False,260,5.323759296135611,3.0,0.0100497873499989,-0.3794372975826263,0.8421670198440552,27,1500
more_demos,bread,action_delay,6,400033,False,True,False,260,55.40150100900687,5.0,0.1668731868267059,0.4803082644939422,0.8421934843063354,27,1500
more_demos,bread,action_delay,7,400034,False,True,False,260,3.042483294410407,5.0,0.0842975676059722,-0.2439565956592559,0.8421940803527832,27,1500
more_demos,bread,gripper_slip,0,400027,True,True,True,169,44.96526306930134,50.0,0.1908886879682541,0.1391648054122924,0.8421812057495117,27,1500
more_demos,bread,gripper_slip,1,400028,False,True,False,260,10.696135820223098,54.0,0.2542699575424194,-0.2986158430576324,0.8421720862388611,27,1500
more_demos,bread,gripper_slip,2,400029,False,False,False,260,6.925172791325273,,0.092830590903759,-0.1016644090414047,0.8421903252601624,27,1500
more_demos,bread,gripper_slip,3,400030,False,True,False,260,11.9855483150254,54.0,0.2646861970424652,-0.0617196448147296,0.8421846628189087,27,1500
more_demos,bread,gripper_slip,4,400031,False,True,False,260,16.493303442827404,78.0,0.2086414247751236,-0.2495090514421463,0.8421908617019653,27,1500
