logging_scheme,logging_seed,method,pehe,mae,ate,true_ate,ate_error,helpful_auroc,helpful_average_precision,harmful_auroc,sign_accuracy
adaptive_value,211,paired_label_oracle,0.48751502971763566,0.3701745196734908,0.39269558088356676,0.4100197758734344,0.017324194989867647,0.7906100092574411,0.7453194576460487,0.8758745274941002,0.4935158501440922
adaptive_value,211,failure_risk,0.61401532758599,0.4491887404483632,0.18911234848370104,0.4100197758734344,0.22090742738973337,0.7060324150699918,0.6168101952451978,0.8936156882400852,0.586687306501548
adaptive_value,211,ensemble_uncertainty,0.6910911913853315,0.491390839394484,0.015100857434201038,0.4100197758734344,0.3949189184392334,0.703255182764328,0.6428695952710742,0.7711922811853894,0.7692307692307693
adaptive_value,211,s_learner,0.5983241241149112,0.4743832881300266,0.2677468236992547,0.4100197758734344,0.14227295217417973,0.6411338962605548,0.5330579195573382,0.6927510807593509,0.5429417571569596
adaptive_value,211,t_learner,0.5436625389195652,0.43234108268585975,0.2908836928789916,0.4100197758734344,0.11913608299444284,0.7296879821583864,0.6538133485704464,0.9063133053484536,0.5423302598491199
adaptive_value,211,ipw_learner,0.8471222417511293,0.6463178062397709,0.26526984302775203,0.4100197758734344,0.14474993284568238,0.5982516060257526,0.5224747675642913,0.7365505502996889,0.36277173913043476
adaptive_value,211,dr_learner,0.6846511709297739,0.5119856882572724,0.25318400823095555,0.4100197758734344,0.15683576764247886,0.6634876357056695,0.5928949335804764,0.7616795104734457,0.39901477832512317
adaptive_value,211,reversibility_proxy,0.5504781028173519,0.41923895535220734,0.5020433352743235,0.4100197758734344,0.09202355940088913,0.7215403820798384,0.645646348367181,0.8442244637971723,0.45382585751978893
adaptive_value,307,paired_label_oracle,0.48751502971763566,0.3701745196734908,0.39269558088356676,0.4100197758734344,0.017324194989867647,0.7906100092574411,0.7453194576460487,0.8758745274941002,0.4935158501440922
adaptive_value,307,failure_risk,0.61401532758599,0.4491887404483632,0.18911234848370104,0.4100197758734344,0.22090742738973337,0.7060324150699918,0.6168101952451978,0.8936156882400852,0.586687306501548
adaptive_value,307,ensemble_uncertainty,0.6910911913853315,0.491390839394484,0.015100857434201038,0.4100197758734344,0.3949189184392334,0.703255182764328,0.6428695952710742,0.7711922811853894,0.7692307692307693
adaptive_value,307,s_learner,0.5690444108632968,0.45161665305397036,0.3346273685359177,0.4100197758734344,0.07539240733751673,0.6687536819367689,0.5542476048964221,0.7149614685796629,0.5372866127583109
adaptive_value,307,t_learner,0.5612159232524835,0.4389571530514826,0.31608880285220314,0.4100197758734344,0.09393097302123127,0.6857519566863972,0.5910380019650197,0.894503268383351,0.5244932432432432
adaptive_value,307,ipw_learner,0.8096093987270859,0.6397215791002724,0.38599950939385574,0.4100197758734344,0.024020266479578667,0.5552553510814374,0.49338744365621207,0.693680429379947,0.3749138525155066
adaptive_value,307,dr_learner,0.6538749764829723,0.4917536184028093,0.30577036707131616,0.4100197758734344,0.10424940880211825,0.6389615535669201,0.5867860488829766,0.8107261449783848,0.4064285714285714
adaptive_value,307,reversibility_proxy,0.5653176055091933,0.4234200838999915,0.5211828739217181,0.4100197758734344,0.11116309804828373,0.6878699469801105,0.5758424188090108,0.8225466240628198,0.476356050069541
adaptive_value,401,paired_label_oracle,0.48751502971763566,0.3701745196734908,0.39269558088356676,0.4100197758734344,0.017324194989867647,0.7906100092574411,0.7453194576460487,0.8758745274941002,0.4935158501440922
adaptive_value,401,failure_risk,0.61401532758599,0.4491887404483632,0.18911234848370104,0.4100197758734344,0.22090742738973337,0.7060324150699918,0.6168101952451978,0.8936156882400852,0.586687306501548
