logging_scheme,method,target_budget,logging_seeds,success_mean,success_std,success_ci_low,success_ci_high,intervention_mean,precision_mean,regret_mean
uncertainty_selective,reversibility_proxy,0.5,5,0.8041666666666666,0.020623947784607608,0.7866666666666667,0.8191666666666666,0.5,0.7116666666666667,0.1458333333333333
uncertainty_selective,reversibility_proxy,0.75,5,0.9016666666666666,0.02095796056659883,0.885,0.9183333333333333,0.75,0.6088888888888889,0.09416666666666669
adaptive_value,paired_label_oracle,0.1,5,0.5375,0.0,0.5375,0.5375,0.1,0.875,0.012500000000000067
adaptive_value,paired_label_oracle,0.25,5,0.6625,0.0,0.6625,0.6625,0.25,0.85,0.03749999999999998
adaptive_value,paired_label_oracle,0.5,5,0.8166666666666667,0.0,0.8166666666666667,0.8166666666666667,0.5,0.7333333333333333,0.1333333333333333
adaptive_value,paired_label_oracle,0.75,5,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.75,0.6277777777777778,0.07916666666666672
adaptive_value,failure_risk,0.1,5,0.5166666666666667,0.0,0.5166666666666667,0.5166666666666667,0.1,0.6666666666666666,0.033333333333333326
adaptive_value,failure_risk,0.25,5,0.6125,0.0,0.6125,0.6125,0.25,0.65,0.08749999999999991
adaptive_value,failure_risk,0.5,5,0.7625,0.0,0.7625,0.7625,0.5,0.625,0.1875
adaptive_value,failure_risk,0.75,5,0.8666666666666668,1.2412670766236366e-16,0.8666666666666668,0.8666666666666668,0.75,0.5555555555555556,0.12916666666666665
adaptive_value,ensemble_uncertainty,0.1,5,0.5291666666666667,0.0,0.5291666666666667,0.5291666666666667,0.1,0.7916666666666666,0.02083333333333337
adaptive_value,ensemble_uncertainty,0.25,5,0.6375,0.0,0.6375,0.6375,0.25,0.75,0.0625
adaptive_value,ensemble_uncertainty,0.5,5,0.8125,0.0,0.8125,0.8125,0.5,0.725,0.13749999999999996
adaptive_value,ensemble_uncertainty,0.75,5,0.8958333333333334,0.0,0.8958333333333334,0.8958333333333334,0.75,0.6166666666666667,0.09999999999999998
adaptive_value,s_learner,0.1,5,0.4966666666666667,0.01650967729679913,0.4841666666666667,0.5091666666666667,0.1,0.475,0.05333333333333338
adaptive_value,s_learner,0.25,5,0.5791666666666666,0.02282177322938193,0.5608333333333333,0.5958333333333333,0.25,0.52,0.1208333333333333
adaptive_value,s_learner,0.5,5,0.7275,0.04405646629295435,0.6933333333333334,0.7633333333333333,0.5,0.56,0.22249999999999998
