logging_scheme,delay_candidate_hops,method,target_budget,logging_seeds,success_mean,success_std,intervention_mean,precision_mean
uncertainty_selective,0,paired_label_oracle,0.1,5,0.5375,0.0,0.1,0.875
uncertainty_selective,0,paired_label_oracle,0.25,5,0.6625,0.0,0.25,0.85
uncertainty_selective,0,paired_label_oracle,0.5,5,0.8166666666666667,0.0,0.5,0.7333333333333333
uncertainty_selective,0,paired_label_oracle,0.75,5,0.9166666666666666,0.0,0.75,0.6277777777777778
uncertainty_selective,0,t_learner,0.1,5,0.5233333333333333,0.012706625568314082,0.1,0.7333333333333333
uncertainty_selective,0,t_learner,0.25,5,0.63,0.018018123592033086,0.25,0.7233333333333334
uncertainty_selective,0,t_learner,0.5,5,0.7866666666666666,0.03109684692840882,0.5,0.6766666666666666
uncertainty_selective,0,t_learner,0.75,5,0.9,0.023753654689565362,0.75,0.6022222222222222
uncertainty_selective,0,dr_learner,0.1,5,0.5125,0.014433756729740656,0.1,0.6333333333333334
uncertainty_selective,0,dr_learner,0.25,5,0.6258333333333332,0.019409691164753516,0.25,0.7066666666666667
uncertainty_selective,0,dr_learner,0.5,5,0.775,0.027481054079735237,0.5,0.6566666666666666
uncertainty_selective,0,dr_learner,0.75,5,0.8908333333333334,0.028927591596183,0.75,0.5955555555555556
uncertainty_selective,0,reversibility_proxy,0.1,5,0.5166666666666667,0.011410886614690991,0.1,0.6666666666666667
uncertainty_selective,0,reversibility_proxy,0.25,5,0.6308333333333334,0.006972166887783959,0.25,0.7233333333333334
uncertainty_selective,0,reversibility_proxy,0.5,5,0.8041666666666666,0.020623947784607598,0.5,0.7116666666666667
uncertainty_selective,0,reversibility_proxy,0.75,5,0.9016666666666666,0.020957960566598814,0.75,0.6088888888888888
uncertainty_selective,1,paired_label_oracle,0.1,5,0.5125,0.0,0.1,0.625
uncertainty_selective,1,paired_label_oracle,0.25,5,0.625,0.0,0.25,0.7166666666666667
uncertainty_selective,1,paired_label_oracle,0.5,5,0.775,0.0,0.5,0.6583333333333333
uncertainty_selective,1,paired_label_oracle,0.75,5,0.8791666666666667,0.0,0.75,0.5833333333333334
uncertainty_selective,1,t_learner,0.1,5,0.5108333333333334,0.012004050242406653,0.1,0.6333333333333333
uncertainty_selective,1,t_learner,0.25,5,0.5966666666666667,0.015975241260567305,0.25,0.6
uncertainty_selective,1,t_learner,0.5,5,0.7133333333333333,0.02270737765573122,0.5,0.5466666666666666
uncertainty_selective,1,t_learner,0.75,5,0.825,0.03952847075210474,0.75,0.5233333333333333
uncertainty_selective,1,dr_learner,0.1,5,0.49749999999999994,0.009592387027684435,0.1,0.5083333333333333
uncertainty_selective,1,dr_learner,0.25,5,0.5866666666666667,0.015701203067847294,0.25,0.5633333333333334
uncertainty_selective,1,dr_learner,0.5,5,0.7083333333333334,0.026679684322636864,0.5,0.5366666666666667
uncertainty_selective,1,dr_learner,0.75,5,0.8141666666666667,0.03367017308472819,0.75,0.5133333333333333
uncertainty_selective,1,reversibility_proxy,0.1,5,0.4966666666666667,0.00903311807861615,0.1,0.4666666666666666
uncertainty_selective,1,reversibility_proxy,0.25,5,0.5775,0.014006446928309697,0.25,0.5133333333333333
uncertainty_selective,1,reversibility_proxy,0.5,5,0.7474999999999999,0.01830490219707401,0.5,0.6
uncertainty_selective,1,reversibility_proxy,0.75,5,0.8233333333333333,0.03663350773388879,0.75,0.5233333333333333
uncertainty_selective,2,paired_label_oracle,0.1,5,0.5083333333333333,0.0,0.1,0.625
uncertainty_selective,2,paired_label_oracle,0.25,5,0.6,0.0,0.25,0.6333333333333333
uncertainty_selective,2,paired_label_oracle,0.5,5,0.7333333333333333,0.0,0.5,0.575
uncertainty_selective,2,paired_label_oracle,0.75,5,0.7833333333333333,0.0,0.75,0.49444444444444446
uncertainty_selective,2,t_learner,0.1,5,0.495,0.017027347284752126,0.1,0.5083333333333334
uncertainty_selective,2,t_learner,0.25,5,0.5625,0.016925080009658266,0.25,0.5
uncertainty_selective,2,t_learner,0.5,5,0.6566666666666666,0.030132807886274215,0.5,0.485
uncertainty_selective,2,t_learner,0.75,5,0.7366666666666666,0.03552678957882035,0.75,0.4488888888888889
uncertainty_selective,2,dr_learner,0.1,5,0.48166666666666663,0.013372338779901015,0.1,0.4
uncertainty_selective,2,dr_learner,0.25,5,0.5525,0.018066236157232306,0.25,0.45999999999999996
uncertainty_selective,2,dr_learner,0.5,5,0.6516666666666666,0.02331100121783226,0.5,0.4583333333333333
uncertainty_selective,2,dr_learner,0.75,5,0.7375,0.024650332429581746,0.75,0.4477777777777778
uncertainty_selective,2,reversibility_proxy,0.1,5,0.48083333333333333,0.008640183897219869,0.1,0.30833333333333335
uncertainty_selective,2,reversibility_proxy,0.25,5,0.5375,0.014129854131510954,0.25,0.35333333333333333
uncertainty_selective,2,reversibility_proxy,0.5,5,0.6966666666666667,0.017529736639968825,0.5,0.51
uncertainty_selective,2,reversibility_proxy,0.75,5,0.7474999999999999,0.0407822810108072,0.75,0.4644444444444445
adaptive_value,0,paired_label_oracle,0.1,5,0.5375,0.0,0.1,0.875
adaptive_value,0,paired_label_oracle,0.25,5,0.6625,0.0,0.25,0.85
adaptive_value,0,paired_label_oracle,0.5,5,0.8166666666666667,0.0,0.5,0.7333333333333333
adaptive_value,0,paired_label_oracle,0.75,5,0.9166666666666666,0.0,0.75,0.6277777777777778
adaptive_value,0,t_learner,0.1,5,0.5225,0.014006446928309697,0.1,0.7333333333333333
adaptive_value,0,t_learner,0.25,5,0.6224999999999999,0.01900292375165231,0.25,0.6900000000000001
adaptive_value,0,t_learner,0.5,5,0.7691666666666667,0.03915336653611169,0.5,0.6383333333333333
adaptive_value,0,t_learner,0.75,5,0.9075,0.04076099033798534,0.75,0.6122222222222222
