logging_scheme,logging_seed,logged_episodes,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
randomized,401,60,0.75,0.8666666666666667,0.75,0.5666666666666667,0.6352691648187598,0.6663463966112155
randomized,401,120,0.1,0.49583333333333335,0.1,0.4583333333333333,0.6261092591320181,0.67570289926221
randomized,401,120,0.25,0.6041666666666666,0.25,0.6166666666666667,0.6261092591320181,0.67570289926221
randomized,401,120,0.5,0.7666666666666667,0.5,0.6333333333333333,0.6261092591320181,0.67570289926221
randomized,401,120,0.75,0.8833333333333333,0.75,0.5833333333333334,0.6261092591320181,0.67570289926221
randomized,401,180,0.1,0.5041666666666667,0.1,0.5416666666666666,0.6112882193896165,0.7093917440457822
randomized,401,180,0.25,0.6125,0.25,0.65,0.6112882193896165,0.7093917440457822
randomized,401,180,0.5,0.7666666666666667,0.5,0.6416666666666667,0.6112882193896165,0.7093917440457822
randomized,401,180,0.75,0.8875,0.75,0.5888888888888889,0.6112882193896165,0.7093917440457822
randomized,401,240,0.1,0.5083333333333333,0.1,0.625,0.5949888155434555,0.7363461511487642
randomized,401,240,0.25,0.6083333333333333,0.25,0.6666666666666666,0.5949888155434555,0.7363461511487642
randomized,401,240,0.5,0.7458333333333333,0.5,0.6083333333333333,0.5949888155434555,0.7363461511487642
randomized,401,240,0.75,0.9041666666666667,0.75,0.6166666666666667,0.5949888155434555,0.7363461511487642
randomized,503,60,0.1,0.48333333333333334,0.1,0.375,0.7102337726728696,0.609425407467669
randomized,503,60,0.25,0.5958333333333333,0.25,0.6,0.7102337726728696,0.609425407467669
randomized,503,60,0.5,0.725,0.5,0.5583333333333333,0.7102337726728696,0.609425407467669
randomized,503,60,0.75,0.8625,0.75,0.5611111111111111,0.7102337726728696,0.609425407467669
randomized,503,120,0.1,0.49583333333333335,0.1,0.4583333333333333,0.593512289691673,0.690156254383258
randomized,503,120,0.25,0.6,0.25,0.6,0.593512289691673,0.690156254383258
randomized,503,120,0.5,0.7333333333333333,0.5,0.5666666666666667,0.593512289691673,0.690156254383258
randomized,503,120,0.75,0.8583333333333333,0.75,0.55,0.593512289691673,0.690156254383258
randomized,503,180,0.1,0.5041666666666667,0.1,0.5416666666666666,0.5845297533829239,0.7033849272028502
