held_out_axis,held_out_value,logging_seed,method,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
disturbance,action_delay,211,reversibility_proxy,0.1,0.14583333333333334,0.10416666666666667,0.2,0.578997534035118,0.46983277072905755
disturbance,action_delay,211,reversibility_proxy,0.25,0.20833333333333334,0.25,0.3333333333333333,0.578997534035118,0.46983277072905755
disturbance,action_delay,211,reversibility_proxy,0.5,0.375,0.5,0.5,0.578997534035118,0.46983277072905755
disturbance,action_delay,211,reversibility_proxy,0.75,0.7083333333333334,0.75,0.7777777777777778,0.578997534035118,0.46983277072905755
disturbance,action_delay,307,dr_learner,0.1,0.20833333333333334,0.10416666666666667,0.8,0.6561490073822361,0.6304659915415357
disturbance,action_delay,307,dr_learner,0.25,0.2916666666666667,0.25,0.6666666666666666,0.6561490073822361,0.6304659915415357
disturbance,action_delay,307,dr_learner,0.5,0.4583333333333333,0.5,0.6666666666666666,0.6561490073822361,0.6304659915415357
disturbance,action_delay,307,dr_learner,0.75,0.7083333333333334,0.75,0.7777777777777778,0.6561490073822361,0.6304659915415357
disturbance,action_delay,307,reversibility_proxy,0.1,0.16666666666666666,0.10416666666666667,0.4,0.5517420066728862,0.5276452101035968
disturbance,action_delay,307,reversibility_proxy,0.25,0.20833333333333334,0.25,0.3333333333333333,0.5517420066728862,0.5276452101035968
disturbance,action_delay,307,reversibility_proxy,0.5,0.4375,0.5,0.625,0.5517420066728862,0.5276452101035968
disturbance,action_delay,307,reversibility_proxy,0.75,0.625,0.75,0.6666666666666666,0.5517420066728862,0.5276452101035968
disturbance,action_noise,101,dr_learner,0.1,0.7708333333333334,0.10416666666666667,0.2,0.6000916245905411,0.6752686352483289
disturbance,action_noise,101,dr_learner,0.25,0.875,0.25,0.5,0.6000916245905411,0.6752686352483289
disturbance,action_noise,101,dr_learner,0.5,0.9375,0.5,0.375,0.6000916245905411,0.6752686352483289
disturbance,action_noise,101,dr_learner,0.75,1.0,0.75,0.3333333333333333,0.6000916245905411,0.6752686352483289
