logging_scheme,logging_seed,method,target_budget,episodes,success_rate,intervention_rate,matched_oracle_success_rate,regret_to_matched_oracle,request_precision,nominal_false_alarm_rate
uncertainty_selective,211,oracle_value,,240,0.9958333333333333,0.5458333333333333,0.9958333333333333,0.0,1.0,0.10416666666666667
uncertainty_selective,211,paired_label_oracle,0.1,240,0.5375,0.1,0.55,0.012500000000000067,0.875,0.08333333333333333
uncertainty_selective,211,paired_label_oracle,0.25,240,0.6625,0.25,0.7,0.03749999999999998,0.85,0.125
uncertainty_selective,211,paired_label_oracle,0.5,240,0.8166666666666667,0.5,0.95,0.1333333333333333,0.7333333333333333,0.2708333333333333
uncertainty_selective,211,paired_label_oracle,0.75,240,0.9166666666666666,0.75,0.9958333333333333,0.07916666666666672,0.6277777777777778,0.5208333333333334
uncertainty_selective,211,failure_risk,0.1,240,0.5166666666666667,0.1,0.55,0.033333333333333326,0.6666666666666666,0.0625
uncertainty_selective,211,failure_risk,0.25,240,0.6125,0.25,0.7,0.08749999999999991,0.65,0.14583333333333334
uncertainty_selective,211,failure_risk,0.5,240,0.7625,0.5,0.95,0.1875,0.625,0.4166666666666667
uncertainty_selective,211,failure_risk,0.75,240,0.8666666666666667,0.75,0.9958333333333333,0.12916666666666665,0.5555555555555556,0.6458333333333334
uncertainty_selective,211,ensemble_uncertainty,0.1,240,0.5291666666666667,0.1,0.55,0.02083333333333337,0.7916666666666666,0.020833333333333332
uncertainty_selective,211,ensemble_uncertainty,0.25,240,0.6375,0.25,0.7,0.0625,0.75,0.041666666666666664
uncertainty_selective,211,ensemble_uncertainty,0.5,240,0.8125,0.5,0.95,0.13749999999999996,0.725,0.10416666666666667
uncertainty_selective,211,ensemble_uncertainty,0.75,240,0.8958333333333334,0.75,0.9958333333333333,0.09999999999999998,0.6166666666666667,0.4375
uncertainty_selective,211,s_learner,0.1,240,0.49583333333333335,0.1,0.55,0.054166666666666696,0.4583333333333333,0.08333333333333333
uncertainty_selective,211,s_learner,0.25,240,0.5791666666666667,0.25,0.7,0.12083333333333324,0.5166666666666667,0.20833333333333334
uncertainty_selective,211,s_learner,0.5,240,0.7708333333333334,0.5,0.95,0.17916666666666659,0.6416666666666667,0.3541666666666667
uncertainty_selective,211,s_learner,0.75,240,0.8958333333333334,0.75,0.9958333333333333,0.09999999999999998,0.6,0.6041666666666666
uncertainty_selective,211,t_learner,0.1,240,0.5208333333333334,0.1,0.55,0.029166666666666674,0.7083333333333334,0.041666666666666664
uncertainty_selective,211,t_learner,0.25,240,0.625,0.25,0.7,0.07499999999999996,0.7,0.125
